id_venda,data,loja,cidade,categoria,produto,preco_unitario,quantidade,desconto_tipo,metodo_pagamento,receita_total,custo_total,margem
1000,2025-01-01,Loja Centro,São Paulo,Mercearia,Feijão 1kg,8.9,1,Leve 3 Pague 2,Crédito,8.9,3.2,5.7
1001,2025-01-01,Loja Oeste,Curitiba,Hortifruti,Banana Nanica kg,4.2,1,Nenhuma,Crédito,4.2,1.5,2.7
1002,2025-01-01,Loja Oeste,Curitiba,Frios e Laticínios,Iogurte 170g,3.2,2,Nenhuma,Débito,6.4,1.6,4.8
1003,2025-01-01,Loja Leste,Belo Horizonte,Higiene e Limpeza,Sabonete 90g,2.9,3,Nenhuma,Débito,8.7,1.5,7.2
1004,2025-01-01,Loja Leste,Belo Horizonte,Mercearia,Macarrão 500g,4.46,1,Compre Junto,Dinheiro,4.46,1.2,3.26
1005,2025-01-01,Loja Centro,São Paulo,Bebidas,Cerveja Lata 350ml,4.32,1,10%OFF,Dinheiro,4.32,1.9,2.42
1006,2025-01-01,Loja Centro,São Paulo,Hortifruti,Banana Nanica kg,4.2,5,Nenhuma,Dinheiro,21.0,7.5,13.5
1007,2025-01-01,Loja Oeste,Curitiba,Mercearia,Feijão 1kg,8.9,2,Nenhuma,Débito,17.8,6.4,11.4
1008,2025-01-01,Loja Sul,Rio de Janeiro,Bebidas,Água Mineral 500ml,2.5,3,Nenhuma,Pix,7.5,1.8,5.7
1009,2025-01-01,Loja Sul,Rio de Janeiro,Frios e Laticínios,Queijo Mussarela 500g,19.9,1,Nenhuma,Crédito,19.9,8.5,11.4
1010,2025-01-01,Loja Oeste,Curitiba,Frios e Laticínios,Iogurte 170g,3.2,2,Nenhuma,Pix,6.4,1.6,4.8
1011,2025-01-01,Loja Sul,Rio de Janeiro,Higiene e Limpeza,Papel Higiênico 12 rolos,17.91,2,10%OFF,Crédito,35.82,12.0,23.82
1012,2025-01-01,Loja Norte,São Paulo,Bebidas,Suco 1L,7.9,1,Nenhuma,Dinheiro,7.9,3.0,4.9
1013,2025-01-01,Loja Norte,São Paulo,Hortifruti,Batata kg,5.5,3,Nenhuma,Débito,16.5,3.9,12.6
1014,2025-01-01,Loja Sul,Rio de Janeiro,Frios e Laticínios,Leite 1L,5.9,2,Nenhuma,Pix,11.8,4.4,7.4
1015,2025-01-01,Loja Oeste,Curitiba,Hortifruti,Tomate Italiano kg,6.17,1,Compre Junto,Pix,6.17,2.0,4.17
1016,2025-01-01,Loja Centro,São Paulo,Bebidas,Refrigerante Lata 350ml,4.5,1,Nenhuma,Pix,4.5,2.0,2.5
1017,2025-01-01,Loja Oeste,Curitiba,Bebidas,Cerveja Lata 350ml,4.56,1,Compre Junto,Dinheiro,4.56,1.9,2.66
1018,2025-01-01,Loja Oeste,Curitiba,Bebidas,Refrigerante Lata 350ml,4.5,2,Nenhuma,Dinheiro,9.0,4.0,5.0
1019,2025-01-01,Loja Sul,Rio de Janeiro,Bebidas,Suco 1L,7.9,1,Nenhuma,Dinheiro,7.9,3.0,4.9
1020,2025-01-01,Loja Oeste,Curitiba,Frios e Laticínios,Iogurte 170g,2.88,4,10%OFF,Dinheiro,11.52,3.2,8.32
1021,2025-01-01,Loja Oeste,Curitiba,Higiene e Limpeza,Papel Higiênico 12 rolos,19.9,1,Leve 3 Pague 2,Crédito,19.9,6.0,13.9
1022,2025-01-01,Loja Oeste,Curitiba,Mercearia,Óleo de Soja 900ml,8.91,1,10%OFF,Dinheiro,8.91,4.0,4.91
1023,2025-01-01,Loja Norte,São Paulo,Bebidas,Água Mineral 500ml,2.25,3,10%OFF,Crédito,6.75,1.8,4.95
1024,2025-01-01,Loja Leste,Belo Horizonte,Bebidas,Água Mineral 500ml,2.5,1,Nenhuma,Débito,2.5,0.6,1.9
1025,2025-01-01,Loja Sul,Rio de Janeiro,Higiene e Limpeza,Desinfetante 2L,8.01,4,10%OFF,Débito,32.04,10.0,22.04
1026,2025-01-01,Loja Sul,Rio de Janeiro,Hortifruti,Tomate Italiano kg,6.5,1,Nenhuma,Crédito,6.5,2.0,4.5
1027,2025-01-01,Loja Norte,São Paulo,Frios e Laticínios,Leite 1L,5.9,1,Nenhuma,Débito,5.9,2.2,3.7
1028,2025-01-01,Loja Oeste,Curitiba,Frios e Laticínios,Leite 1L,5.9,1,Nenhuma,Débito,5.9,2.2,3.7
1029,2025-01-01,Loja Centro,São Paulo,Bebidas,Suco 1L,7.9,1,Nenhuma,Pix,7.9,3.0,4.9
1030,2025-01-01,Loja Norte,São Paulo,Higiene e Limpeza,Papel Higiênico 12 rolos,17.91,2,10%OFF,Pix,35.82,12.0,23.82
1031,2025-01-01,Loja Norte,São Paulo,Hortifruti,Batata kg,5.5,1,Nenhuma,Pix,5.5,1.3,4.2
1032,2025-01-01,Loja Sul,Rio de Janeiro,Hortifruti,Batata kg,5.5,1,Leve 3 Pague 2,Crédito,5.5,1.3,4.2
1033,2025-01-01,Loja Centro,São Paulo,Hortifruti,Tomate Italiano kg,6.5,3,Nenhuma,Débito,19.5,6.0,13.5
1034,2025-01-01,Loja Norte,São Paulo,Higiene e Limpeza,Desinfetante 2L,8.9,1,Nenhuma,Pix,8.9,2.5,6.4
1035,2025-01-01,Loja Norte,São Paulo,Bebidas,Cerveja Lata 350ml,4.32,3,10%OFF,Crédito,12.96,5.7,7.26
1036,2025-01-01,Loja Centro,São Paulo,Higiene e Limpeza,Detergente 500ml,3.51,4,10%OFF,Débito,14.04,3.6,10.44
1037,2025-01-01,Loja Norte,São Paulo,Hortifruti,Batata kg,4.95,1,10%OFF,Crédito,4.95,1.3,3.65
1038,2025-01-01,Loja Norte,São Paulo,Hortifruti,Banana Nanica kg,4.2,5,Nenhuma,Pix,21.0,7.5,13.5
1039,2025-01-01,Loja Sul,Rio de Janeiro,Hortifruti,Batata kg,5.5,1,Nenhuma,Crédito,5.5,1.3,4.2
1040,2025-01-01,Loja Oeste,Curitiba,Higiene e Limpeza,Detergente 500ml,3.9,2,Nenhuma,Pix,7.8,1.8,6.0
1041,2025-01-01,Loja Oeste,Curitiba,Higiene e Limpeza,Papel Higiênico 12 rolos,19.9,1,Nenhuma,Débito,19.9,6.0,13.9
1042,2025-01-01,Loja Centro,São Paulo,Higiene e Limpeza,Detergente 500ml,3.9,2,Nenhuma,Crédito,7.8,1.8,6.0
1043,2025-01-01,Loja Oeste,Curitiba,Frios e Laticínios,Iogurte 170g,3.2,2,Nenhuma,Pix,6.4,1.6,4.8
1044,2025-01-01,Loja Oeste,Curitiba,Higiene e Limpeza,Sabonete 90g,2.9,4,Nenhuma,Dinheiro,11.6,2.0,9.6
1045,2025-01-01,Loja Norte,São Paulo,Mercearia,Óleo de Soja 900ml,9.9,1,Nenhuma,Pix,9.9,4.0,5.9
1046,2025-01-01,Loja Sul,Rio de Janeiro,Bebidas,Refrigerante Lata 350ml,4.27,1,Compre Junto,Crédito,4.27,2.0,2.27
1047,2025-01-01,Loja Centro,São Paulo,Higiene e Limpeza,Papel Higiênico 12 rolos,19.9,2,Nenhuma,Dinheiro,39.8,12.0,27.8
1048,2025-01-01,Loja Centro,São Paulo,Frios e Laticínios,Queijo Mussarela 500g,19.9,1,Nenhuma,Dinheiro,19.9,8.5,11.4
1049,2025-01-01,Loja Oeste,Curitiba,Higiene e Limpeza,Detergente 500ml,3.9,2,Nenhuma,Crédito,7.8,1.8,6.0
1050,2025-01-01,Loja Norte,São Paulo,Mercearia,Arroz 5kg,15.27,3,Leve 3 Pague 2,Débito,45.81,24.0,21.81
1051,2025-01-01,Loja Sul,Rio de Janeiro,Mercearia,Feijão 1kg,8.9,2,Nenhuma,Dinheiro,17.8,6.4,11.4
1052,2025-01-01,Loja Oeste,Curitiba,Hortifruti,Tomate Italiano kg,5.85,4,10%OFF,Crédito,23.4,8.0,15.4
1053,2025-01-01,Loja Leste,Belo Horizonte,Mercearia,Arroz 5kg,22.9,1,Leve 3 Pague 2,Dinheiro,22.9,8.0,14.9
1054,2025-01-02,Loja Leste,Belo Horizonte,Higiene e Limpeza,Desinfetante 2L,8.9,2,Nenhuma,Débito,17.8,5.0,12.8
1055,2025-01-02,Loja Oeste,Curitiba,Bebidas,Suco 1L,7.9,2,Nenhuma,Débito,15.8,6.0,9.8
1056,2025-01-02,Loja Centro,São Paulo,Mercearia,Macarrão 500g,3.13,3,Leve 3 Pague 2,Crédito,9.39,3.6,5.79
1057,2025-01-02,Loja Sul,Rio de Janeiro,Frios e Laticínios,Iogurte 170g,3.2,1,Nenhuma,Pix,3.2,0.8,2.4
1058,2025-01-02,Loja Oeste,Curitiba,Frios e Laticínios,Leite 1L,5.61,3,Compre Junto,Débito,16.83,6.6,10.23
1059,2025-01-02,Loja Leste,Belo Horizonte,Bebidas,Água Mineral 500ml,2.5,2,Nenhuma,Pix,5.0,1.2,3.8
1060,2025-01-02,Loja Norte,São Paulo,Mercearia,Feijão 1kg,8.9,3,Nenhuma,Crédito,26.7,9.6,17.1
1061,2025-01-02,Loja Leste,Belo Horizonte,Frios e Laticínios,Leite 1L,5.9,3,Nenhuma,Dinheiro,17.7,6.6,11.1
1062,2025-01-02,Loja Norte,São Paulo,Frios e Laticínios,Leite 1L,5.9,2,Nenhuma,Dinheiro,11.8,4.4,7.4
1063,2025-01-02,Loja Centro,São Paulo,Mercearia,Macarrão 500g,4.7,2,Nenhuma,Dinheiro,9.4,2.4,7.0
1064,2025-01-02,Loja Centro,São Paulo,Bebidas,Suco 1L,7.5,1,Compre Junto,Dinheiro,7.5,3.0,4.5
1065,2025-01-02,Loja Centro,São Paulo,Bebidas,Cerveja Lata 350ml,4.8,1,Leve 3 Pague 2,Pix,4.8,1.9,2.9
1066,2025-01-02,Loja Oeste,Curitiba,Higiene e Limpeza,Detergente 500ml,3.9,1,Nenhuma,Dinheiro,3.9,0.9,3.0
1067,2025-01-02,Loja Centro,São Paulo,Hortifruti,Banana Nanica kg,3.78,2,10%OFF,Débito,7.56,3.0,4.56
1068,2025-01-02,Loja Sul,Rio de Janeiro,Hortifruti,Banana Nanica kg,3.78,4,10%OFF,Dinheiro,15.12,6.0,9.12
1069,2025-01-02,Loja Centro,São Paulo,Mercearia,Macarrão 500g,4.7,2,Nenhuma,Dinheiro,9.4,2.4,7.0
1070,2025-01-02,Loja Oeste,Curitiba,Frios e Laticínios,Leite 1L,5.31,1,10%OFF,Débito,5.31,2.2,3.11
1071,2025-01-02,Loja Oeste,Curitiba,Higiene e Limpeza,Sabonete 90g,2.61,1,10%OFF,Dinheiro,2.61,0.5,2.11
1072,2025-01-02,Loja Sul,Rio de Janeiro,Frios e Laticínios,Queijo Mussarela 500g,19.9,3,Nenhuma,Dinheiro,59.7,25.5,34.2
1073,2025-01-02,Loja Leste,Belo Horizonte,Hortifruti,Batata kg,5.5,2,Nenhuma,Débito,11.0,2.6,8.4
1074,2025-01-02,Loja Centro,São Paulo,Mercearia,Macarrão 500g,4.46,1,Compre Junto,Débito,4.46,1.2,3.26
1075,2025-01-02,Loja Sul,Rio de Janeiro,Frios e Laticínios,Leite 1L,5.9,1,Nenhuma,Pix,5.9,2.2,3.7
1076,2025-01-02,Loja Oeste,Curitiba,Bebidas,Cerveja Lata 350ml,4.8,1,Nenhuma,Débito,4.8,1.9,2.9
1077,2025-01-02,Loja Leste,Belo Horizonte,Hortifruti,Batata kg,5.5,1,Nenhuma,Crédito,5.5,1.3,4.2
1078,2025-01-02,Loja Centro,São Paulo,Hortifruti,Maçã Gala kg,7.5,1,Compre Junto,Pix,7.5,2.8,4.7
1079,2025-01-02,Loja Centro,São Paulo,Higiene e Limpeza,Papel Higiênico 12 rolos,19.9,4,Nenhuma,Débito,79.6,24.0,55.6
1080,2025-01-02,Loja Leste,Belo Horizonte,Higiene e Limpeza,Sabonete 90g,2.61,4,10%OFF,Pix,10.44,2.0,8.44
1081,2025-01-02,Loja Oeste,Curitiba,Hortifruti,Maçã Gala kg,7.9,2,Nenhuma,Dinheiro,15.8,5.6,10.2
1082,2025-01-02,Loja Norte,São Paulo,Mercearia,Óleo de Soja 900ml,9.9,2,Nenhuma,Crédito,19.8,8.0,11.8
1083,2025-01-02,Loja Sul,Rio de Janeiro,Frios e Laticínios,Queijo Mussarela 500g,17.91,1,10%OFF,Crédito,17.91,8.5,9.41
1084,2025-01-02,Loja Norte,São Paulo,Frios e Laticínios,Leite 1L,5.9,1,Nenhuma,Débito,5.9,2.2,3.7
1085,2025-01-02,Loja Centro,São Paulo,Hortifruti,Batata kg,5.5,1,Nenhuma,Crédito,5.5,1.3,4.2
1086,2025-01-02,Loja Norte,São Paulo,Hortifruti,Batata kg,5.5,4,Nenhuma,Crédito,22.0,5.2,16.8
1087,2025-01-02,Loja Oeste,Curitiba,Hortifruti,Batata kg,5.5,1,Nenhuma,Pix,5.5,1.3,4.2
1088,2025-01-02,Loja Leste,Belo Horizonte,Higiene e Limpeza,Papel Higiênico 12 rolos,19.9,1,Nenhuma,Pix,19.9,6.0,13.9
1089,2025-01-02,Loja Centro,São Paulo,Hortifruti,Tomate Italiano kg,6.5,2,Leve 3 Pague 2,Débito,13.0,4.0,9.0
1090,2025-01-02,Loja Leste,Belo Horizonte,Frios e Laticínios,Iogurte 170g,2.88,2,10%OFF,Crédito,5.76,1.6,4.16
1091,2025-01-02,Loja Centro,São Paulo,Hortifruti,Maçã Gala kg,7.9,3,Nenhuma,Dinheiro,23.7,8.4,15.3
1092,2025-01-02,Loja Leste,Belo Horizonte,Mercearia,Feijão 1kg,8.9,1,Nenhuma,Pix,8.9,3.2,5.7
1093,2025-01-02,Loja Sul,Rio de Janeiro,Hortifruti,Tomate Italiano kg,6.5,3,Nenhuma,Crédito,19.5,6.0,13.5
1094,2025-01-02,Loja Sul,Rio de Janeiro,Frios e Laticínios,Iogurte 170g,3.04,1,Compre Junto,Crédito,3.04,0.8,2.24
1095,2025-01-02,Loja Centro,São Paulo,Frios e Laticínios,Leite 1L,5.9,3,Nenhuma,Débito,17.7,6.6,11.1
1096,2025-01-02,Loja Norte,São Paulo,Hortifruti,Banana Nanica kg,4.2,2,Nenhuma,Dinheiro,8.4,3.0,5.4
1097,2025-01-02,Loja Sul,Rio de Janeiro,Frios e Laticínios,Iogurte 170g,3.2,2,Leve 3 Pague 2,Crédito,6.4,1.6,4.8
1098,2025-01-02,Loja Norte,São Paulo,Mercearia,Arroz 5kg,20.61,2,10%OFF,Pix,41.22,16.0,25.22
1099,2025-01-02,Loja Leste,Belo Horizonte,Frios e Laticínios,Leite 1L,5.31,2,10%OFF,Débito,10.62,4.4,6.22
